Rep_Code,Order_Source,Order_Type,Order_Num,Customer_Number,Subcategory,Product_Code,Brand,Subseries,Revenue,Quantity,Invoice_Date,Order_Date,Segment,category
Rep004,S,RO,2DD0YV,9529,TL,P4,B4,Keyboards,818,1,21APR2009:12:00:00 AM,24FEB2009:12:00:00 AM,Others,W
Rep002,E,BO,2DA4QK,1449,DI,P9,B4,Monitors,1154,3,22APR2009:12:00:00 AM,23JAN2009:12:00:00 AM,Large Enterprise,A
Rep002,E,BO,2DA4QK,1449,AI,P1,B1,Batteries,4257,3,23APR2009:12:00:00 AM,23JAN2009:12:00:00 AM,Public sector,M
Rep004,E,BO,2DA4QK,1449,BI,P4,B3,Keyboards,4144,3,24APR2009:12:00:00 AM,23JAN2009:12:00:00 AM,Large Enterprise,U
Rep002,E,BO,2DA4QK,1449,Z,P6,B5,Speakers,2290,4,25APR2009:12:00:00 AM,23JAN2009:12:00:00 AM,Private Sector,U
Rep008,E,BO,2DA4QK,1449,UN,P1,B2,Batteries,4338,4,26APR2009:12:00:00 AM,23JAN2009:12:00:00 AM,Private Sector,W
Rep008,E,BO,2DA4QK,1449,UN,P3,B3,Projectors,3741,1,27APR2009:12:00:00 AM,23JAN2009:12:00:00 AM,Private Sector,W
Rep010,S,BO,2DA4QK,1449,3B,P9,B2,Monitors,2970,2,28APR2009:12:00:00 AM,23JAN2009:12:00:00 AM,Others,Y
Rep009,E,BO,2DA4QK,1449,3B,P1,B1,Batteries,3103,2,29APR2009:12:00:00 AM,23JAN2009:12:00:00 AM,Public sector,Y
Rep006,E,RM,2CT1L2,1181,TW,P2,B2,Headsets & Microphones,1140,2,30APR2009:12:00:00 AM,21JAN2009:12:00:00 AM,Others,W
Rep010,S,RO,2DA4QK,1449,B,P9,B5,Monitors,4382,4,01MAY2009:12:00:00 AM,23JAN2009:12:00:00 AM,Others,B
Rep002,S,RO,2DA9AM,1159,BI,P7,B1,Power cables,1683,2,02MAY2009:12:00:00 AM,12MAY2009:12:00:00 AM,Private Sector,U
Rep008,S,RO,2DA9AM,1159,Z,P9,B3,Monitors,1310,1,03MAY2009:12:00:00 AM,12MAY2009:12:00:00 AM,Large Enterprise,U
Rep002,S,RO,2DADNT,1449,BI,P5,B3,Printers,1115,4,04MAY2009:12:00:00 AM,28JAN2009:12:00:00 AM,Large Enterprise,U
Rep001,E,RO,2DAFF0,5532,CA,P7,B2,Power cables,3905,1,05MAY2009:12:00:00 AM,29JAN2009:12:00:00 AM,Others,X
Rep006,E,RO,2DAPJA,3039,VI,P2,B3,Headsets & Microphones,932,4,06MAY2009:12:00:00 AM,13FEB2009:12:00:00 AM,Large Enterprise,D
Rep004,S,RO,2DAWJC,5968,Z,P7,B4,Power cables,1193,3,07MAY2009:12:00:00 AM,09MAR2009:12:00:00 AM,Private Sector,U
Rep006,E,RO,2DCQF8,3360,1I,P7,B2,Power cables,2235,4,08MAY2009:12:00:00 AM,19FEB2009:12:00:00 AM,Others,G
Rep004,E,BO,2D8VT3,34,3B,P3,B2,Projectors,3960,2,09MAY2009:12:00:00 AM,02JAN2009:12:00:00 AM,Others,Y
Rep008,E,BO,2D8YKX,2107,CA,P5,B5,Printers,3240,1,10MAY2009:12:00:00 AM,04JAN2009:12:00:00 AM,Others,X
Rep003,S,BO,2D8YKX,2107,3B,P5,B1,Printers,1501,1,11MAY2009:12:00:00 AM,04JAN2009:12:00:00 AM,Public sector,Y
Rep005,E,BO,2D91HT,3237,3B,P5,B2,Printers,3299,3,12MAY2009:12:00:00 AM,05JAN2009:12:00:00 AM,Large Enterprise,Y
Rep005,E,BO,2D91LJ,3313,Y,P1,B3,Batteries,1627,2,13MAY2009:12:00:00 AM,05JAN2009:12:00:00 AM,Large Enterprise,A
Rep004,S,BO,2D91TF,3454,XB,P5,B3,Printers,2883,4,14MAY2009:12:00:00 AM,05JAN2009:12:00:00 AM,Private Sector,Y
Rep003,S,BO,2D91YT,3580,UN,P4,B4,Keyboards,3251,3,15MAY2009:12:00:00 AM,05JAN2009:12:00:00 AM,Private Sector,W
Rep008,S,BO,2D91YT,3580,XB,P5,B4,Printers,2864,3,16MAY2009:12:00:00 AM,05JAN2009:12:00:00 AM,Public sector,Y
Rep005,S,BO,2D9AJF,8813,AI,P5,B3,Printers,3141,1,17MAY2009:12:00:00 AM,10JAN2009:12:00:00 AM,Large Enterprise,B
Rep006,E,BO,2D9JDW,2354,TW,P4,B3,Keyboards,4776,4,18MAY2009:12:00:00 AM,14JAN2009:12:00:00 AM,Large Enterprise,W
Rep008,S,BO,2D9JDW,2354,3B,P3,B4,Projectors,832,1,19MAY2009:12:00:00 AM,14JAN2009:12:00:00 AM,Public sector,Y
Rep001,E,BO,2D9KDL,2920,CA,P8,B2,Hard Drives,1646,4,20MAY2009:12:00:00 AM,14JAN2009:12:00:00 AM,Others,X
Rep009,E,BO,2D9KDL,2920,XB,P5,B2,Printers,3621,2,21MAY2009:12:00:00 AM,14JAN2009:12:00:00 AM,Large Enterprise,Y
Rep005,S,BO,2D9KNJ,8948,TW,P3,B5,Projectors,4035,4,22MAY2009:12:00:00 AM,15JAN2009:12:00:00 AM,Large Enterprise,W
Rep004,E,BO,2D9KNJ,8948,WB,P10,B2,Power Adaptors,4926,2,23MAY2009:12:00:00 AM,15JAN2009:12:00:00 AM,Public sector,Y
Rep006,E,BO,2D9KNJ,8948,DI,P6,B4,Speakers,2780,1,24MAY2009:12:00:00 AM,15JAN2009:12:00:00 AM,Large Enterprise,A
Rep005,E,BO,2D9KNJ,8948,ZI,P8,B2,Hard Drives,4324,4,25MAY2009:12:00:00 AM,15JAN2009:12:00:00 AM,Large Enterprise,D
Rep002,S,BO,2D9L2Y,341,SI,P7,B3,Power cables,4015,4,26MAY2009:12:00:00 AM,15JAN2009:12:00:00 AM,Others,M
Rep008,E,BO,2D9MEK,4016,3B,P1,B5,Batteries,1520,3,27MAY2009:12:00:00 AM,15JAN2009:12:00:00 AM,Others,Y
Rep007,E,BO,2D9ND1,4666,WB,P5,B4,Printers,4238,4,28MAY2009:12:00:00 AM,15JAN2009:12:00:00 AM,Large Enterprise,Y
Rep001,E,BO,2D9NDQ,4701,BI,P10,B1,Power Adaptors,1020,4,29MAY2009:12:00:00 AM,15JAN2009:12:00:00 AM,Public sector,U
Rep001,E,BO,2D9NDQ,4701,3B,P2,B5,Headsets & Microphones,2156,4,30MAY2009:12:00:00 AM,15JAN2009:12:00:00 AM,Others,Y
Rep010,E,BO,2D9NF0,4723,UN,P3,B2,Projectors,769,1,31MAY2009:12:00:00 AM,15JAN2009:12:00:00 AM,Private Sector,W
Rep003,S,BO,2D9NF0,4723,WB,P4,B1,Keyboards,2220,4,01JUN2009:12:00:00 AM,15JAN2009:12:00:00 AM,Large Enterprise,Y
Rep005,S,BO,2D9NH1,4773,BI,P8,B3,Hard Drives,2492,4,02JUN2009:12:00:00 AM,15JAN2009:12:00:00 AM,Others,U
Rep003,E,BO,2D9NH1,4773,BI,P7,B1,Power cables,676,3,03JUN2009:12:00:00 AM,15JAN2009:12:00:00 AM,Large Enterprise,U
Rep008,S,BO,2D9NH1,4773,ZI,P2,B4,Headsets & Microphones,3516,4,04JUN2009:12:00:00 AM,15JAN2009:12:00:00 AM,Public sector,U
Rep008,S,BO,2D9NJ7,4794,HI,P3,B1,Projectors,4521,3,05JUN2009:12:00:00 AM,15JAN2009:12:00:00 AM,Private Sector,D
Rep005,E,BO,2D9NJ7,4794,Z,P2,B3,Headsets & Microphones,1746,4,06JUN2009:12:00:00 AM,15JAN2009:12:00:00 AM,Public sector,U
Rep007,S,BO,2D9NJ7,4794,A,P9,B1,Monitors,4320,4,07JUN2009:12:00:00 AM,15JAN2009:12:00:00 AM,Large Enterprise,D
Rep007,E,BO,2D9NJ7,4794,ZI,P2,B4,Headsets & Microphones,2323,3,08JUN2009:12:00:00 AM,15JAN2009:12:00:00 AM,Others,U
Rep001,E,BO,2D9PDM,5343,BI,P6,B4,Speakers,3358,3,09JUN2009:12:00:00 AM,16JAN2009:12:00:00 AM,Others,U
Rep008,E,BO,2D9RP7,6547,TW,P2,B5,Headsets & Microphones,3783,1,10JUN2009:12:00:00 AM,16JAN2009:12:00:00 AM,Public sector,W
Rep005,S,BO,2D9RP7,6547,3B,P4,B1,Keyboards,3996,1,11JUN2009:12:00:00 AM,16JAN2009:12:00:00 AM,Others,Y
Rep009,E,BO,2D9RRK,6610,Y,P8,B2,Hard Drives,603,1,12JUN2009:12:00:00 AM,16JAN2009:12:00:00 AM,Others,A
Rep006,S,BO,2D9RTE,3177,RI,P3,B1,Projectors,4827,3,13JUN2009:12:00:00 AM,16JAN2009:12:00:00 AM,Private Sector,M
Rep007,S,BO,2D9RTE,3177,UN,P6,B2,Speakers,1692,4,14JUN2009:12:00:00 AM,16JAN2009:12:00:00 AM,Public sector,W
Rep009,S,BO,2D9RTE,3177,3B,P8,B4,Hard Drives,3322,4,15JUN2009:12:00:00 AM,16JAN2009:12:00:00 AM,Others,Y
Rep005,S,BO,2D9RTE,3177,D6,P7,B4,Power cables,3323,1,16JUN2009:12:00:00 AM,16JAN2009:12:00:00 AM,Others,S
Rep001,E,BO,2D9VAM,7722,Y,P1,B4,Batteries,4196,4,17JUN2009:12:00:00 AM,18JAN2009:12:00:00 AM,Public sector,A
Rep007,E,BO,2D9VAM,7722,TL,P1,B4,Batteries,2055,2,18JUN2009:12:00:00 AM,18JAN2009:12:00:00 AM,Private Sector,W
Rep005,S,BO,2D9VAM,7722,3B,P2,B4,Headsets & Microphones,4602,2,19JUN2009:12:00:00 AM,18JAN2009:12:00:00 AM,Others,Y
Rep004,E,BO,2D9VAM,7722,BI,P10,B5,Power Adaptors,817,1,20JUN2009:12:00:00 AM,18JAN2009:12:00:00 AM,Public sector,U
Rep009,E,BO,2D9VAM,7722,ZI,P7,B3,Power cables,4569,1,21JUN2009:12:00:00 AM,18JAN2009:12:00:00 AM,Others,U
Rep006,S,BO,2D9VAM,7722,ZI,P1,B3,Batteries,2981,3,22JUN2009:12:00:00 AM,18JAN2009:12:00:00 AM,Large Enterprise,U
Rep004,S,BO,2D9W4Y,8275,Y,P5,B4,Printers,3319,2,23JUN2009:12:00:00 AM,19JAN2009:12:00:00 AM,Large Enterprise,A
Rep002,S,BO,2D9W4Y,8275,XB,P5,B3,Printers,1875,4,24JUN2009:12:00:00 AM,19JAN2009:12:00:00 AM,Large Enterprise,Y
Rep001,E,BO,2DA1DA,827,CA,P1,B3,Batteries,3866,2,25JUN2009:12:00:00 AM,21JAN2009:12:00:00 AM,Public sector,X
Rep008,S,BO,2DA1DA,827,XB,P5,B3,Printers,2547,1,26JUN2009:12:00:00 AM,21JAN2009:12:00:00 AM,Others,Y
Rep009,S,BO,2DA1KR,7796,DI,P8,B2,Hard Drives,3582,1,27JUN2009:12:00:00 AM,21JAN2009:12:00:00 AM,Private Sector,A
Rep007,S,BO,2DA3P2,9162,ZI,P4,B5,Keyboards,1322,3,28JUN2009:12:00:00 AM,22JAN2009:12:00:00 AM,Public sector,D
Rep007,S,BO,2DA3P2,9162,CA,P5,B4,Printers,3195,4,29JUN2009:12:00:00 AM,22JAN2009:12:00:00 AM,Others,X
Rep001,S,BO,2DA3P2,9162,XX,P2,B5,Headsets & Microphones,1774,3,30JUN2009:12:00:00 AM,22JAN2009:12:00:00 AM,Large Enterprise,Y
Rep006,S,BO,2DA6AY,3889,DI,P3,B2,Projectors,1861,1,01JUL2009:12:00:00 AM,24JAN2009:12:00:00 AM,Public sector,A
Rep003,E,BO,2DA6AY,3889,CI,P8,B4,Hard Drives,553,1,02JUL2009:12:00:00 AM,24JAN2009:12:00:00 AM,Large Enterprise,B
Rep009,E,BO,2DA6AY,3889,4B,P6,B1,Speakers,4808,1,03JUL2009:12:00:00 AM,24JAN2009:12:00:00 AM,Large Enterprise,Y
Rep006,S,BO,2DA705,9392,D6,P10,B1,Power Adaptors,3331,1,04JUL2009:12:00:00 AM,24JAN2009:12:00:00 AM,Private Sector,S
Rep006,E,BO,2DA705,9392,Y,P1,B2,Batteries,4685,2,05JUL2009:12:00:00 AM,24JAN2009:12:00:00 AM,Large Enterprise,A
Rep004,S,BO,2DA77K,4670,RI,P4,B1,Keyboards,4034,4,06JUL2009:12:00:00 AM,25JAN2009:12:00:00 AM,Others,M
Rep004,S,BO,2DA77K,4670,TW,P8,B2,Hard Drives,2798,2,07JUL2009:12:00:00 AM,25JAN2009:12:00:00 AM,Private Sector,W
Rep005,S,BO,2DA77K,4670,XX,P6,B3,Speakers,1808,1,08JUL2009:12:00:00 AM,25JAN2009:12:00:00 AM,Public sector,Y
Rep009,S,BO,2DA77K,4670,D,P2,B4,Headsets & Microphones,3059,1,09JUL2009:12:00:00 AM,25JAN2009:12:00:00 AM,Large Enterprise,A
Rep005,S,BO,2DA77K,4670,1I,P10,B5,Power Adaptors,2808,2,10JUL2009:12:00:00 AM,25JAN2009:12:00:00 AM,Large Enterprise,G
Rep010,E,BO,2DA7JP,6317,LU,P7,B4,Power cables,1830,3,11JUL2009:12:00:00 AM,25JAN2009:12:00:00 AM,Public sector,Q
Rep008,S,BO,2DA7JP,6317,CA,P8,B3,Hard Drives,923,1,12JUL2009:12:00:00 AM,25JAN2009:12:00:00 AM,Large Enterprise,X
Rep003,S,BO,2DA7JP,6317,TW,P8,B3,Hard Drives,3282,1,13JUL2009:12:00:00 AM,25JAN2009:12:00:00 AM,Public sector,W
Rep004,E,BO,2DA7JP,6317,XX,P5,B1,Printers,4100,2,14JUL2009:12:00:00 AM,25JAN2009:12:00:00 AM,Private Sector,Y
Rep007,E,BO,2DA7KV,6317,B,P9,B4,Monitors,1045,1,15JUL2009:12:00:00 AM,25JAN2009:12:00:00 AM,Public sector,U
Rep003,S,BO,2DA7KV,6317,Y,P9,B1,Monitors,2927,2,16JUL2009:12:00:00 AM,25JAN2009:12:00:00 AM,Large Enterprise,A
Rep006,E,BO,2DA7KV,6317,B,P7,B4,Power cables,3864,1,17JUL2009:12:00:00 AM,25JAN2009:12:00:00 AM,Public sector,U
Rep009,E,BO,2DA7KV,6317,B,P4,B3,Keyboards,3987,4,18JUL2009:12:00:00 AM,25JAN2009:12:00:00 AM,Others,U
Rep006,S,BO,2DA7KV,6317,B,P1,B1,Batteries,669,1,19JUL2009:12:00:00 AM,25JAN2009:12:00:00 AM,Private Sector,U
Rep003,S,BO,2DA7KV,6317,B,P1,B5,Batteries,4980,3,20JUL2009:12:00:00 AM,25JAN2009:12:00:00 AM,Private Sector,U
Rep004,E,BO,2DA7KV,6317,B,P5,B2,Printers,2831,3,21JUL2009:12:00:00 AM,25JAN2009:12:00:00 AM,Others,U
Rep003,S,BO,2DA7KV,6317,BI,P6,B3,Speakers,4224,2,22JUL2009:12:00:00 AM,25JAN2009:12:00:00 AM,Others,U
Rep010,S,BO,2DA7KV,6317,LU,P10,B4,Power Adaptors,674,1,23JUL2009:12:00:00 AM,25JAN2009:12:00:00 AM,Large Enterprise,Q
Rep008,E,BO,2DA7KV,6317,CA,P9,B1,Monitors,1044,1,24JUL2009:12:00:00 AM,25JAN2009:12:00:00 AM,Large Enterprise,X
Rep005,E,BO,2DA7KV,6317,TW,P9,B1,Monitors,3318,4,25JUL2009:12:00:00 AM,25JAN2009:12:00:00 AM,Private Sector,W
Rep006,S,BO,2DA7KV,6317,XX,P5,B1,Printers,4387,2,26JUL2009:12:00:00 AM,25JAN2009:12:00:00 AM,Private Sector,Y
Rep003,E,BO,2DA99N,5820,XI,P5,B2,Printers,1671,3,27JUL2009:12:00:00 AM,26JAN2009:12:00:00 AM,Private Sector,E
Rep010,E,BO,2DA9AM,1159,A,P10,B5,Power Adaptors,2549,3,28JUL2009:12:00:00 AM,26JAN2009:12:00:00 AM,Large Enterprise,D
Rep005,E,BO,2DA9AM,1159,BI,P7,B1,Power cables,3353,1,29JUL2009:12:00:00 AM,26JAN2009:12:00:00 AM,Others,U
Rep001,S,BO,2DA9AM,1159,TL,P3,B4,Projectors,2961,1,30JUL2009:12:00:00 AM,26JAN2009:12:00:00 AM,Large Enterprise,W
Rep004,E,BO,2DA9AM,1159,3B,P3,B4,Projectors,1005,4,31JUL2009:12:00:00 AM,26JAN2009:12:00:00 AM,Public sector,Y
Rep002,S,BO,2DA9E2,5912,RI,P5,B2,Printers,4439,1,01AUG2009:12:00:00 AM,26JAN2009:12:00:00 AM,Private Sector,M
Rep010,S,BO,2DA9E2,5912,LU,P5,B5,Printers,980,2,02AUG2009:12:00:00 AM,26JAN2009:12:00:00 AM,Large Enterprise,Q
Rep004,E,BO,2DA9E2,5912,UN,P1,B3,Batteries,2537,3,03AUG2009:12:00:00 AM,26JAN2009:12:00:00 AM,Public sector,W
Rep004,E,BO,2DA9E2,5912,3B,P4,B5,Keyboards,2772,1,04AUG2009:12:00:00 AM,26JAN2009:12:00:00 AM,Others,Y
Rep005,S,BO,2DA9MX,6114,W,P7,B3,Power cables,4762,1,05AUG2009:12:00:00 AM,26JAN2009:12:00:00 AM,Others,N
Rep007,E,BO,2DA9NQ,6126,XI,P10,B4,Power Adaptors,3991,4,06AUG2009:12:00:00 AM,26JAN2009:12:00:00 AM,Large Enterprise,D
Rep001,E,BO,2DA9NQ,6126,,P8,B4,Hard Drives,1531,2,07AUG2009:12:00:00 AM,26JAN2009:12:00:00 AM,Private Sector,G
Rep007,E,BO,2DA9NQ,6126,B,P1,B4,Batteries,1310,4,08AUG2009:12:00:00 AM,26JAN2009:12:00:00 AM,Private Sector,U
Rep002,E,BO,2DA9NQ,6126,B,P6,B3,Speakers,610,2,09AUG2009:12:00:00 AM,26JAN2009:12:00:00 AM,Others,U
Rep001,E,BO,2DA9NQ,6126,B,P5,B3,Printers,3915,4,10AUG2009:12:00:00 AM,26JAN2009:12:00:00 AM,Others,U
Rep005,E,BO,2DA9NQ,6126,BI,P8,B3,Hard Drives,3181,2,11AUG2009:12:00:00 AM,26JAN2009:12:00:00 AM,Public sector,U
Rep006,S,BO,2DAA49,6380,DI,P2,B1,Headsets & Microphones,4065,3,12AUG2009:12:00:00 AM,27JAN2009:12:00:00 AM,Public sector,A
Rep009,E,BO,2DADWN,7837,DI,P8,B2,Hard Drives,668,4,13AUG2009:12:00:00 AM,28JAN2009:12:00:00 AM,Public sector,A
Rep004,E,BO,2DADWN,7837,3B,P8,B5,Hard Drives,4642,3,14AUG2009:12:00:00 AM,28JAN2009:12:00:00 AM,Private Sector,Y
Rep006,E,BO,2DAH8Q,9250,RI,P4,B1,Keyboards,3515,1,15AUG2009:12:00:00 AM,29JAN2009:12:00:00 AM,Others,M
Rep007,S,BO,2DAH8Q,9250,1I,P3,B3,Projectors,3901,1,16AUG2009:12:00:00 AM,29JAN2009:12:00:00 AM,Large Enterprise,G
Rep004,E,BO,2DAH8Q,9250,,P9,B1,Monitors,2253,4,17AUG2009:12:00:00 AM,29JAN2009:12:00:00 AM,Large Enterprise,G
Rep001,E,BO,2DAH8Q,9250,TW,P1,B4,Batteries,4163,3,18AUG2009:12:00:00 AM,29JAN2009:12:00:00 AM,Large Enterprise,W
Rep009,S,BO,2DAH8Q,9250,3B,P8,B4,Hard Drives,2122,4,19AUG2009:12:00:00 AM,29JAN2009:12:00:00 AM,Others,Y
Rep009,E,BO,2DAJ3R,9784,TW,P6,B3,Speakers,2087,3,20AUG2009:12:00:00 AM,30JAN2009:12:00:00 AM,Private Sector,W
Rep008,E,BO,2DAJ3R,9784,XB,P4,B2,Keyboards,2137,4,21AUG2009:12:00:00 AM,30JAN2009:12:00:00 AM,Private Sector,Y
Rep004,E,BO,2DAJ6J,9828,UN,P3,B5,Projectors,638,1,22AUG2009:12:00:00 AM,30JAN2009:12:00:00 AM,Others,W
Rep006,E,BO,2DAJ6J,9828,3B,P9,B1,Monitors,4049,2,23AUG2009:12:00:00 AM,30JAN2009:12:00:00 AM,Others,Y
Rep003,E,BO,2DAJ6J,9828,ZI,P3,B1,Projectors,4164,4,24AUG2009:12:00:00 AM,30JAN2009:12:00:00 AM,Private Sector,U
Rep007,E,BO,2DAJJR,9950,CA,P9,B1,Monitors,3042,1,25AUG2009:12:00:00 AM,30JAN2009:12:00:00 AM,Large Enterprise,X
Rep008,S,BO,2DAJJR,9950,TW,P7,B4,Power cables,3575,3,26AUG2009:12:00:00 AM,30JAN2009:12:00:00 AM,Private Sector,W
Rep008,E,BO,2DAJJR,9950,3B,P9,B4,Monitors,2641,1,27AUG2009:12:00:00 AM,30JAN2009:12:00:00 AM,Others,Y
Rep009,E,BO,2DAJRQ,82,RB,P2,B2,Headsets & Microphones,2521,4,28AUG2009:12:00:00 AM,30JAN2009:12:00:00 AM,Public sector,Y
Rep005,S,BO,2DAQ6C,3435,XI,P9,B1,Monitors,4595,3,29AUG2009:12:00:00 AM,03FEB2009:12:00:00 AM,Public sector,E
Rep010,S,BO,2DAQC7,3565,CA,P9,B3,Monitors,4527,1,30AUG2009:12:00:00 AM,03FEB2009:12:00:00 AM,Private Sector,X
Rep001,E,BO,2DAQC7,3565,TW,P2,B5,Headsets & Microphones,3534,2,31AUG2009:12:00:00 AM,03FEB2009:12:00:00 AM,Private Sector,W
Rep010,E,BO,2DAQC7,3565,3B,P6,B3,Speakers,3346,3,01SEP2009:12:00:00 AM,03FEB2009:12:00:00 AM,Private Sector,Y
Rep003,S,BO,2DAR55,4029,TL,P10,B5,Power Adaptors,4737,1,02SEP2009:12:00:00 AM,04FEB2009:12:00:00 AM,Private Sector,W
Rep006,S,BO,2DAR55,4029,WB,P5,B4,Printers,2626,1,03SEP2009:12:00:00 AM,04FEB2009:12:00:00 AM,Public sector,Y
Rep009,S,BO,2DARYW,4490,DI,P7,B1,Power cables,1711,2,04SEP2009:12:00:00 AM,04FEB2009:12:00:00 AM,Private Sector,A
Rep010,S,BO,2DARYW,4490,KI,P3,B2,Projectors,815,2,05SEP2009:12:00:00 AM,04FEB2009:12:00:00 AM,Private Sector,A
Rep006,E,BO,2DARYW,4490,1I,P6,B4,Speakers,1532,4,06SEP2009:12:00:00 AM,04FEB2009:12:00:00 AM,Private Sector,G
Rep001,E,BO,2DARYW,4490,ZI,P8,B1,Hard Drives,2407,4,07SEP2009:12:00:00 AM,04FEB2009:12:00:00 AM,Private Sector,U
Rep005,E,BO,2DARYW,4490,TW,P3,B4,Projectors,504,2,08SEP2009:12:00:00 AM,04FEB2009:12:00:00 AM,Others,W
Rep004,E,BO,2DARYW,4490,4B,P10,B5,Power Adaptors,3141,4,09SEP2009:12:00:00 AM,04FEB2009:12:00:00 AM,Public sector,Y
Rep001,E,BO,2DATX8,5114,RI,P3,B5,Projectors,4876,2,10SEP2009:12:00:00 AM,05FEB2009:12:00:00 AM,Private Sector,M
Rep009,S,BO,2DATX8,5114,DI,P6,B4,Speakers,3375,2,11SEP2009:12:00:00 AM,05FEB2009:12:00:00 AM,Others,A
Rep006,S,BO,2DATX8,5114,D6,P3,B2,Projectors,1138,3,12SEP2009:12:00:00 AM,05FEB2009:12:00:00 AM,Public sector,S
Rep001,E,BO,2DATX8,5114,3B,P4,B1,Keyboards,3270,4,13SEP2009:12:00:00 AM,05FEB2009:12:00:00 AM,Public sector,Y
Rep009,E,BO,2DAXCE,6442,BI,P9,B2,Monitors,2872,1,14SEP2009:12:00:00 AM,06FEB2009:12:00:00 AM,Public sector,U
Rep007,S,BO,2DAY6R,9324,WB,P5,B1,Printers,1542,3,15SEP2009:12:00:00 AM,07FEB2009:12:00:00 AM,Large Enterprise,Y
Rep009,S,BO,2DAYMJ,7796,DI,P2,B3,Headsets & Microphones,3833,1,16SEP2009:12:00:00 AM,08FEB2009:12:00:00 AM,Private Sector,A
Rep004,E,BO,2DAYMJ,7796,4B,P6,B4,Speakers,2049,4,17SEP2009:12:00:00 AM,08FEB2009:12:00:00 AM,Large Enterprise,Y
Rep008,S,BO,2DC1XL,9017,CA,P2,B5,Headsets & Microphones,1634,3,18SEP2009:12:00:00 AM,09FEB2009:12:00:00 AM,Others,X
Rep010,S,BO,2DC1XL,9017,3B,P3,B2,Projectors,1333,2,19SEP2009:12:00:00 AM,09FEB2009:12:00:00 AM,Large Enterprise,Y
Rep003,E,BO,2DC1Y9,9039,BI,P10,B5,Power Adaptors,2363,4,20SEP2009:12:00:00 AM,09FEB2009:12:00:00 AM,Others,U
Rep006,S,BO,2DC1Y9,9039,TL,P6,B1,Speakers,1255,1,21SEP2009:12:00:00 AM,09FEB2009:12:00:00 AM,Others,W
Rep007,S,BO,2DC1Y9,9039,WB,P3,B2,Projectors,3387,4,22SEP2009:12:00:00 AM,09FEB2009:12:00:00 AM,Large Enterprise,Y
Rep008,S,BO,2DC4PF,7926,UN,P7,B1,Power cables,3705,1,23SEP2009:12:00:00 AM,11FEB2009:12:00:00 AM,Others,W
Rep001,E,BO,2DC4PF,7926,3B,P10,B2,Power Adaptors,3850,4,24SEP2009:12:00:00 AM,11FEB2009:12:00:00 AM,Large Enterprise,Y
Rep010,S,BO,2DC676,1627,TL,P7,B3,Power cables,2323,4,25SEP2009:12:00:00 AM,11FEB2009:12:00:00 AM,Public sector,W
Rep006,S,BO,2DC676,1627,4B,P8,B4,Hard Drives,4306,3,26SEP2009:12:00:00 AM,11FEB2009:12:00:00 AM,Others,Y
Rep002,E,BO,2DC74K,4050,UN,P5,B2,Printers,2496,2,27SEP2009:12:00:00 AM,12FEB2009:12:00:00 AM,Others,W
Rep006,E,BO,2DC74K,4050,3B,P10,B5,Power Adaptors,2286,3,28SEP2009:12:00:00 AM,12FEB2009:12:00:00 AM,Others,Y
